id,name,price,fuel,color,mileage,page_hit,page_favs,registered,CD changer,sunroof,suspension,address,year
16454327,1.6 스마트,990,가솔린,진주색,31000,77,0,2014-09-23,no,no,no,경기,2011
16442755,1.6 스마트,1080,가솔린,진주색,30600,124,1,2014-09-20,no,yes,no,서울,2011
16396358,1.6 스마트,850,가솔린,진주색,73642,476,2,2014-09-18,no,yes,no,부산,2011
16511993,1.6 GDI 프리미엄 에코플러스,1300,가솔린,흰색,40000,66,0,2014-10-03,no,no,no,서울,2011
16182669,1.6 2U 쿨,700,가솔린,쥐색,105130,621,0,2014-07-25,no,no,no,인천,2008
16441617,디젤 1.6 U 고급형,870,디젤,검정색,118102,365,1,2014-09-20,no,no,no,충남,2009
16451055,1.6 GDI 럭셔리 기본형,1190,가솔린,진주색,11000,213,0,2014-09-22,no,no,no,경기,2012
16283179,1.6 U 고급형,790,가솔린,진주색,100000,492,2,2014-08-16,no,no,no,광주,2009
16286550,1.6 4U 코스모,950,가솔린,진주색,77581,353,0,2014-08-17,no,no,no,대구,2010
16329012,1.6 4U 코스모,1150,가솔린,은회색,52612,110,0,2014-08-26,no,no,no,경기,2010
16510500,1.6 2U 쿨,920,가솔린,쥐색,49900,40,0,2014-10-03,no,yes,no,부산,2008
16497891,1.6 2U 고급형,830,가솔린,진주색,63009,32,0,2014-10-01,no,no,no,전북,2010
16293701,1.6 2U 최고급형,780,가솔린,은색,74396,253,0,2014-08-19,no,no,no,서울,2009
16406043,1.6 스마트,1080,가솔린,진주색,29000,131,1,2014-09-13,no,no,no,서울,2011
16205583,디젤 1.6 4U 코스모,879,디젤,빨간색,80000,206,0,2014-10-02,yes,yes,no,대구,2010
16440426,디젤 1.6 2U 최고급형,1079,디젤,검정색,33000,660,0,2014-09-19,no,no,no,대구,2009
16181156,1.6 2U 세이프티,890,가솔린,진주색,33580,63,0,2014-09-27,no,no,no,경북,2009
16315714,1.6 2U 쿨,1070,가솔린,빨간색,42000,138,0,2014-08-23,no,yes,no,경기,2011
16400445,1.6 2U 쿨,770,가솔린,하늘색,132266,263,0,2014-09-12,no,no,no,경기,2010
16458897,1.6 GDI 프리미엄 에코플러스,1150,가솔린,진주색(바닐라쉐이크),49441,377,0,2014-09-23,no,no,no,경기,2011
16494613,1.6 2U 고급형,950,가솔린,진주색(바닐라쉐이크),52100,62,1,2014-09-30,no,no,no,대구,2009
16486968,1.6 GDI 프리미엄 에코플러스,1270,가솔린,빨간색,28000,109,0,2014-09-29,no,yes,no,부산,2012
16319185,1.6 GDI 럭셔리 기본형,1170,가솔린,진주색,49000,264,0,2014-08-24,no,no,no,인천,2012
16285493,1.6 스마트,960,가솔린,빨간색,30000,1252,0,2014-08-16,no,no,no,대전,2011
16524290,1.6 2U 쿨,1240,가솔린,진주색,11000,17,0,2014-10-07,no,yes,no,인천,2011
16227027,1.6 2U 고급형,760,가솔린,은색,75000,569,0,2014-08-04,no,no,no,경기,2008
16468967,1.6 GDI 럭셔리 기본형,1190,가솔린,흰색(바닐라화이트),9700,162,1,2014-09-25,no,yes,no,경기,2012
16014279,1.6 2U 최고급형,1030,가솔린,은회색,25193,484,1,2014-06-21,no,no,no,경기,2011
16334765,1.6 2U 최고급형,980,가솔린,진주색(바닐라쉐이크),39880,1459,2,2014-08-28,no,yes,no,경기,2010
16469797,1.6 2U 세이프티,1180,가솔린,진주색,12721,109,0,2014-09-25,no,no,no,대전,2011
16336629,1.6 GDI 럭셔리 에코플러스,1230,가솔린,빨간색,40737,539,2,2014-08-27,no,no,no,대구,2011
