id,name,price,fuel,color,mileage,page_hit,page_favs,registered,CD changer,sunroof,suspension,address,year
16538532,M16 GDI 스마트,1400,가솔린,흰색,32000,136,1,2014-10-10,no,no,no,서울,2012
16564414,M16 GDI 탑,1590,가솔린,검정색,9200,24,0,2014-10-15,no,yes,no,경기,2012
16407220,M16 GDI 블루세이버,1360,가솔린,흰색,51000,96,0,2014-09-13,no,no,no,경기,2011
16174342,M16 GDI 럭셔리,1050,가솔린,하늘색,35148,1657,3,2014-08-18,no,no,no,서울,2010
16549714,M16 GDI 럭셔리,1160,가솔린,흰색,55882,88,0,2014-10-13,no,no,no,서울,2011
16576998,M16 GDI 프리미어,1300,가솔린,흰색,28000,105,0,2014-10-17,no,no,no,서울,2012
16504122,M16 GDI 프리미어,1350,가솔린,흰색,65628,54,0,2014-10-02,no,no,no,서울,2010
16577665,M16 GDI 럭셔리,1270,가솔린,흰색,60647,63,0,2014-10-17,no,yes,no,서울,2010
16566545,M16 GDI 디럭스,1150,가솔린,흰색,34600,81,1,2014-10-15,no,no,no,서울,2011
16446778,M16 GDI 에비뉴,1100,가솔린,쥐색,14000,255,0,2014-09-24,no,no,no,서울,2013
16471496,M16 GDI 에비뉴,1450,가솔린,흰색,18120,126,0,2014-09-26,no,no,no,서울,2013
16519274,M16 GDI 프리미어,1540,가솔린,흰색,3917,234,0,2014-10-06,no,yes,no,서울,2013
16422209,M16 GDI 프리미어,1190,가솔린,검정색,44639,1077,0,2014-09-17,no,no,no,서울,2011
16482115,M16 GDI 럭셔리,1270,가솔린,흰색,55000,129,0,2014-09-28,no,yes,no,서울,2011
16524771,M16 GDI 럭셔리,1090,가솔린,은색,44758,93,0,2014-10-08,no,no,no,서울,2011
16574653,M16 GDI 프리미어,1380,가솔린,흰색,39000,19,0,2014-10-17,no,yes,yes,서울,2011
16551496,M16 GDI 디럭스,1120,가솔린,은색,32410,15,0,2014-10-17,no,no,no,서울,2011
16570782,M16 GDI 탑,1430,가솔린,은색,1400,26,0,2014-10-16,no,no,no,서울,2010
16469740,M16 GDI 탑,1380,가솔린,검정색,44145,486,1,2014-10-01,no,yes,no,서울,2010
16515710,M16 GDI 럭셔리,1330,가솔린,흰색,45926,197,0,2014-10-05,no,yes,no,서울,2012
16518669,M16 GDI 에비뉴,1490,가솔린,은색,10000,55,0,2014-10-06,no,no,no,서울,2013
16444448,M16 GDI 프리미어,1330,가솔린,흰색,32579,396,3,2014-09-20,no,yes,no,서울,2011
16344615,M16 GDI 에비뉴,1480,가솔린,은색,19340,476,1,2014-09-16,no,no,no,서울,2013
16022472,M16 GDI 럭셔리,1150,가솔린,흰색,17820,3154,1,2014-06-23,no,no,no,서울,2012
16494259,M16 GDI 럭셔리,1070,가솔린,쥐색,92000,88,0,2014-09-30,no,no,no,서울,2012
16433460,M16 GDI 스마트,1270,가솔린,흰색,13312,421,2,2014-09-29,no,no,no,서울,2012
16505707,M16 GDI 럭셔리,1090,가솔린,은색,44000,60,0,2014-10-02,no,no,no,서울,2011
16381338,M16 GDI 럭셔리,1050,가솔린,은색,94955,293,0,2014-09-18,no,no,no,서울,2011
16564124,M16 GDI 디럭스,1040,가솔린,흰색,61709,24,0,2014-10-16,no,no,no,서울,2011
16029871,M16 GDI 스마트,1299,가솔린,검정색,18000,996,2,2014-06-25,no,no,no,서울,2012
16523102,M16 GDI 럭셔리,1290,가솔린,은색,23941,110,1,2014-10-11,no,no,no,서울,2012
16565970,M16 GDI 탑,1499,가솔린,흰색,24000,80,0,2014-10-15,no,yes,no,서울,2011
16196433,M16 GDI 블루세이버,1200,가솔린,흰색,39000,1415,1,2014-07-28,no,no,no,서울,2011
16319586,M16 GDI 탑,1320,가솔린,흰색,18000,477,3,2014-08-27,no,yes,no,서울,2011
16516927,M16 GDI 럭셔리,1120,가솔린,은색,54000,21,0,2014-10-05,no,no,no,서울,2010
16183831,M16 GDI 프리미어,899,가솔린,은색,110000,977,2,2014-07-25,no,no,no,서울,2010
16557050,M16 GDI 럭셔리,910,가솔린,흰색,124080,33,0,2014-10-15,no,no,no,서울,2011
16570428,M16 GDI 럭셔리,1220,가솔린,흰색,34391,12,0,2014-10-17,no,yes,no,서울,2010
16542555,M16 GDI 럭셔리,1090,가솔린,흰색,62372,149,1,2014-10-10,no,no,no,서울,2011
16338478,M16 GDI 프리미어,1470,가솔린,흰색,41846,623,0,2014-08-28,no,yes,no,서울,2012
16443629,M16 GDI 럭셔리,1270,가솔린,흰색,13921,408,0,2014-09-24,no,no,no,서울,2011
16301445,M16 GDI 럭셔리,990,가솔린,은색,100800,304,1,2014-08-20,no,no,no,서울,2011
16564794,M16 GDI 탑,1370,가솔린,검정색,50000,46,0,2014-10-15,no,yes,no,서울,2011
16459639,M16 GDI 럭셔리,1020,가솔린,흰색,26014,346,0,2014-09-24,no,no,no,서울,2011
15914660,M16 GDI 프리미엄,1700,가솔린,흰색,29000,389,0,2014-09-06,no,no,no,서울,2013
16504719,M16 GDI 럭셔리,1070,가솔린,은색,24033,319,0,2014-10-02,no,no,no,서울,2011
16548877,M16 GDI 럭셔리,1189,가솔린,흰색,70000,81,1,2014-10-13,no,no,no,서울,2011
16570821,M16 GDI 럭셔리,1090,가솔린,쥐색,52000,28,0,2014-10-16,no,no,no,서울,2010
16534045,M16 GDI 탑,1330,가솔린,흰색,60654,235,1,2014-10-08,no,yes,no,서울,2010
