id,name,price,fuel,color,mileage,page_hit,page_favs,registered,CD changer,sunroof,suspension,address,year
16436794,트렌디,1539,가솔린,검정색,6000,708,1,2014-09-19,no,yes,yes,대구,2013
16635078,노블레스,1480,가솔린,진주색,13933,37,0,2014-10-30,no,no,yes,인천,2012
16572288,럭셔리,1290,가솔린,검정색,31000,455,0,2014-10-16,no,no,yes,대구,2012
16565658,노블레스,1520,가솔린,쥐색(티타늄실버),20000,210,0,2014-10-15,no,yes,yes,경기,2012
16633427,디럭스,900,가솔린,검정색,19500,158,0,2014-10-30,no,no,yes,충북,2013
16449271,노블레스,1600,가솔린,검정색,24924,2288,4,2014-09-22,no,yes,yes,서울,2013
16634969,트렌디,1590,가솔린,흰색,25000,57,0,2014-10-30,no,no,yes,전북,2013
16639987,프레스티지,715,가솔린,흰색,13986,126,0,2014-10-31,no,no,yes,인천,2012
16562849,디럭스,1100,가솔린,흰색,9871,655,0,2014-10-15,no,no,no,경기,2013
16554503,노블레스,1580,가솔린,흰색,10000,297,0,2014-10-13,yes,no,yes,인천,2013
16406294,디럭스,1170,가솔린,검정색,10255,2609,1,2014-09-13,no,no,no,인천,2014
16644179,프레스티지,1320,가솔린,검정색,1320,16,0,2014-11-01,no,yes,yes,경기,2012
16436641,노블레스,1430,가솔린,흰색,38619,1005,3,2014-09-19,no,yes,yes,서울,2013
16565264,트렌디,1520,가솔린,진주색,13565,128,3,2014-10-15,no,no,no,경기,2013
16494243,트렌디,1480,가솔린,은색,14246,178,0,2014-09-30,no,no,yes,부산,2013
16593034,트렌디,1480,가솔린,쥐색,24629,305,2,2014-10-22,no,yes,no,서울,2013
16605976,노블레스,1549,가솔린,진주색,19000,314,0,2014-10-24,no,yes,yes,서울,2012
16618646,노블레스,1630,가솔린,흰색,11125,81,0,2014-10-27,no,no,yes,인천,2013
16507581,럭셔리,1150,가솔린,검정색,21926,527,1,2014-10-02,no,no,yes,인천,2013
16644094,에코플러스,1360,가솔린,진주색,6828,156,1,2014-11-01,no,no,yes,인천,2013
16629411,노블레스,1455,가솔린,검정색,25000,111,2,2014-10-29,no,yes,yes,대구,2013
16648710,노블레스,1450,가솔린,진주색,50000,33,0,2014-11-02,no,no,yes,인천,2012
16633879,트렌디,1580,가솔린,흰색,18000,49,0,2014-10-30,no,yes,yes,경북,2013
16493773,트렌디,1500,가솔린,흰색,25000,598,0,2014-09-30,no,yes,yes,대구,2013
16442799,에코플러스,1430,가솔린,흰색,12720,985,2,2014-09-20,no,no,yes,대구,2013
16595923,프레스티지,1450,가솔린,흰색,27000,485,1,2014-10-22,no,no,yes,인천,2012
16531299,프레스티지,1790,가솔린,흰색,5000,932,1,2014-10-08,yes,yes,no,부산,2014
16564061,트렌디,1470,가솔린,흰색,10718,377,1,2014-10-18,no,no,yes,인천,2013
16492507,트렌디,1520,가솔린,흰색,11650,307,0,2014-09-30,no,no,yes,부산,2013
16350532,노블레스,1550,가솔린,진주색,47000,1671,3,2014-08-30,no,no,no,서울,2013
16508533,프레스티지,1570,가솔린,흰색,34961,187,1,2014-10-06,no,no,yes,부산,2013
16192965,프레스티지,1480,가솔린,진주색,34757,836,0,2014-07-27,no,yes,yes,인천,2013
16577107,럭셔리,1350,가솔린,쥐색,46595,345,0,2014-10-17,no,no,yes,부산,2013
16594449,노블레스,1720,가솔린,진주색,6837,342,0,2014-10-22,no,yes,yes,인천,2012
16613614,트렌디,1390,가솔린,흰색,35000,44,1,2014-10-29,no,no,yes,인천,2013
16575644,럭셔리,1370,가솔린,은색,25721,201,1,2014-10-17,no,no,yes,서울,2012
16543366,디럭스,1100,가솔린,흰색,9671,916,0,2014-10-10,no,no,yes,경기,2013
16657974,트렌디,1730,가솔린,진주색,4490,7,0,2014-11-04,no,no,no,부산,2014
16582442,노블레스,1600,가솔린,진주색,25700,228,1,2014-10-19,yes,no,yes,대구,2012
16636637,노블레스,1650,가솔린,진주색,24123,348,1,2014-10-30,no,yes,no,서울,2013
16478025,디럭스,1330,가솔린,흰색,16000,1182,1,2014-09-27,no,no,no,대구,2014
16391111,럭셔리,1090,가솔린,빨간색,16000,1275,0,2014-09-12,no,no,yes,대구,2012
16635247,노블레스,1750,가솔린,흰색,10000,165,2,2014-10-30,no,yes,no,경기,2014
16449566,노블레스,1650,가솔린,청색(플래닛블루),8000,623,1,2014-09-22,no,no,yes,강원,2013
16591141,럭셔리,1380,가솔린,흰색,26728,634,0,2014-10-21,no,no,no,경기,2012
16546916,노블레스,1560,가솔린,진주색,13413,189,0,2014-10-11,no,yes,yes,경기,2012
16567561,노블레스,1650,가솔린,청색(플래닛블루),10600,427,1,2014-10-16,no,yes,yes,경기,2013
16606408,럭셔리,1330,가솔린,진주색,49530,63,0,2014-10-24,no,no,yes,경남,2012
16652035,디럭스,1099,가솔린,검정색,35445,79,0,2014-11-03,no,no,yes,경기,2012
16553492,노블레스,1730,가솔린,검정색,33692,1695,4,2014-10-13,no,yes,no,서울,2013
16613639,트렌디,1500,가솔린,흰색,11000,109,0,2014-10-25,no,yes,no,경기,2013
16468896,트렌디,1210,가솔린,진주색,16251,703,1,2014-09-25,no,no,yes,경기,2013
16651519,노블레스,1600,가솔린,쥐색,10000,55,0,2014-11-03,no,yes,yes,서울,2013
16659493,노블레스,1500,가솔린,빨간색,37000,2,0,2014-11-04,no,yes,yes,경기,2012
16626983,디럭스,1090,가솔린,검정색,7423,478,1,2014-10-30,no,no,no,대전,2013
16629402,노블레스,1570,가솔린,진주색,20000,115,0,2014-10-29,no,yes,yes,경기,2013
16615141,노블레스,1580,가솔린,흰색,10000,83,0,2014-10-26,yes,no,yes,인천,2013
16614667,프레스티지,1390,가솔린,흰색,25000,300,2,2014-10-25,yes,no,yes,경기,2013
16619499,노블레스,1640,가솔린,흰색(스노우화이트펄),28000,88,0,2014-10-27,no,yes,no,인천,2013
16655591,럭셔리,980,가솔린,흰색,89000,17,0,2014-11-04,no,no,yes,인천,2012
16593112,프레스티지,1390,가솔린,기타,39163,558,1,2014-10-27,no,no,no,경기,2012
16572983,노블레스,1450,가솔린,흰색,38891,190,0,2014-10-17,no,no,yes,경기,2013
16605005,럭셔리,1360,가솔린,검정색,30000,650,2,2014-10-23,no,yes,yes,서울,2013
16314083,트렌디,1450,가솔린,흰색,16700,1770,1,2014-08-22,no,yes,yes,서울,2013
16645717,트렌디,1400,가솔린,진주색,19348,6,0,2014-11-01,no,no,yes,경기,2013
16510726,노블레스,1680,가솔린,흰색,19000,1583,5,2014-10-03,no,yes,yes,서울,2013
16651834,노블레스,1630,가솔린,쥐색,30000,11,0,2014-11-03,no,yes,yes,전북,2013
16314255,노블레스,1570,가솔린,흰색,26355,2316,4,2014-08-27,no,no,no,경기,2013
16589452,디럭스,1340,가솔린,검정색,3000,622,0,2014-10-21,no,no,no,충남,2014
16629516,프레스티지,1320,가솔린,검정색,20000,36,0,2014-10-29,no,no,yes,경기,2012
16384774,럭셔리,1270,가솔린,빨간색,8000,263,1,2014-09-06,no,no,yes,경기,2013
16657146,디럭스,1259,가솔린,진주색,7000,17,0,2014-11-04,no,yes,yes,서울,2012
16639772,프레스티지,1620,가솔린,흰색,7000,17,0,2014-10-31,no,no,yes,충남,2013
16657719,노블레스,1550,가솔린,흰색,10496,16,0,2014-11-04,no,yes,yes,경기,2013
16629436,럭셔리,980,가솔린,흰색,89000,139,0,2014-10-29,no,no,yes,인천,2012
