990,31000,2014-09-23
1080,30600,2014-09-20
850,73642,2014-09-18
1300,40000,2014-10-03
700,105130,2014-07-25
870,118102,2014-09-20
1190,11000,2014-09-22
790,100000,2014-08-16
950,77581,2014-08-17
1150,52612,2014-08-26
920,49900,2014-10-03
830,63009,2014-10-01
780,74396,2014-08-19
1080,29000,2014-09-13
879,80000,2014-10-02
1079,33000,2014-09-19
890,33580,2014-09-27
1070,42000,2014-08-23
770,132266,2014-09-12
1150,49441,2014-09-23
950,52100,2014-09-30
1270,28000,2014-09-29
1170,49000,2014-08-24
960,30000,2014-08-16
1240,11000,2014-10-07
760,75000,2014-08-04
1190,9700,2014-09-25
1030,25193,2014-06-21
980,39880,2014-08-28
1180,12721,2014-09-25
1230,40737,2014-08-27
1030,74000,2014-08-28
1320,46000,2014-09-22
730,100500,2014-08-09
990,56489,2014-10-04
1100,8000,2014-10-08
750,89950,2014-10-07
1090,7000,2014-09-22
890,53120,2014-09-29
730,90000,2014-02-22
770,105000,2014-09-21
850,71000,2014-08-19
1150,18421,2014-10-07
930,87000,2014-08-29
750,49023,2014-09-16
750,104000,2014-09-30
720,51000,2014-08-26
650,160000,2014-07-28
750,125071,2014-09-20
950,80100,2014-08-30
1270,68000,2014-08-21
750,28000,2014-10-06
749,55000,2014-09-05
970,34000,2014-09-21
980,45000,2014-08-16
950,90425,2014-10-03
1100,21700,2014-09-18
890,70000,2014-09-15
798,47000,2014-09-10
930,24988,2014-10-07
1250,17068,2014-09-17
641,153300,2014-06-05
940,71575,2014-09-04
880,59860,2014-09-05
770,60000,2013-11-22
880,125888,2014-09-12
820,54521,2014-09-22
789,97141,2014-08-31
950,52000,2014-09-26
780,53000,2014-09-29
900,137946,2014-08-07
870,69923,2014-09-10
899,57442,2014-07-11
790,59259,2014-08-26
1010,11000,2014-10-06
980,50000,2014-10-02
950,15000,2014-09-17
750,105500,2014-09-02
890,80400,2014-05-17
1040,47251,2014-05-18
960,50000,2014-05-26
950,42104,2014-08-28
859,50000,2014-03-25
1170,16000,2014-09-30
870,51918,2014-08-29
890,75000,2014-09-15
1050,37000,2014-09-12
950,45000,2014-09-27
860,49263,2014-08-12
890,58000,2014-09-02
840,78000,2014-09-30
960,47394,2014-08-27
880,78832,2014-08-12
860,74365,2014-08-21
1120,29000,2014-09-21
1090,70000,2014-09-26
1030,39815,2014-09-06
790,28295,2014-08-27
1199,70000,2014-10-06
800,107222,2014-08-22
780,140000,2014-09-13
990,68921,2014-09-23
690,175503,2014-07-21
790,59190,2014-10-04
720,141370,2014-09-30
870,21853,2014-10-03
880,64320,2014-09-18
990,94643,2014-08-20
1250,48000,2014-08-29
1160,27138,2014-07-23
790,50166,2014-09-20
850,81423,2014-09-12
750,100000,2014-09-27
1090,87000,2014-09-24
930,70000,2014-10-02
950,27000,2014-09-20
880,69400,2014-09-17
1000,46607,2014-09-24
970,24011,2014-08-10
1240,11308,2014-10-06
1190,13000,2014-09-29
1130,50000,2014-09-30
1230,18723,2014-09-01
1210,14729,2014-10-07
1420,15000,2014-09-19
670,160000,2014-09-24
830,79000,2014-09-13
900,50174,2014-09-22
1190,10921,2014-09-17
870,115000,2014-09-02
980,59674,2014-07-13
1299,60000,2014-10-01
1050,7000,2014-09-24
890,19213,2014-10-04
1070,22663,2014-09-13
890,58344,2014-06-04
900,20000,2014-10-06
895,64000,2014-09-21
930,86000,2014-07-15
800,30100,2014-09-15
1030,54816,2014-09-20
1080,48400,2014-10-02
1120,8038,2014-07-08
1140,45946,2014-08-23
809,100000,2014-08-21
1300,13000,2014-09-29
730,58039,2014-06-14
850,45000,2014-09-03
720,170208,2014-08-19
890,84174,2014-10-06
860,20000,2014-09-24
1080,64777,2014-08-24
970,97000,2014-09-26
1110,32000,2014-10-04
1280,42397,2014-09-20
990,34000,2014-09-06
930,35514,2014-08-06
830,86947,2014-09-23
770,110231,2014-09-10
950,43000,2014-10-01
860,57994,2014-10-08
850,86000,2014-10-01
780,79804,2014-10-04
1020,27547,2014-08-27
1100,50000,2014-07-12
890,110000,2014-10-06
830,59771,2014-06-10
950,71551,2014-09-13
985,113328,2014-09-16
745,97000,2014-08-25
980,71000,2014-09-19
880,68000,2014-09-17
990,70200,2014-08-28
990,19023,2014-09-24
900,44000,2014-10-06
880,82000,2014-09-24
870,78000,2014-10-02
750,111003,2014-10-07
1280,18000,2014-09-16
890,54000,2014-09-17
850,75300,2014-10-01
770,140000,2014-09-11
1000,67904,2014-08-20
720,148000,2014-06-12
1220,28000,2014-09-30
990,35556,2014-09-04
930,74000,2014-10-04
850,21597,2014-10-02
950,38087,2014-10-06
900,86000,2014-10-07
830,98309,2014-09-06
950,30000,2014-08-04
800,104894,2014-09-17
930,28830,2014-06-20
840,47000,2014-09-14
1080,8450,2014-10-06
790,89000,2014-09-23
1050,48094,2014-10-08
1050,19140,2014-07-17
950,60000,2014-08-29
850,72554,2014-10-06
890,56000,2014-09-24
1200,30000,2014-09-20
940,47000,2014-09-21
600,79000,2014-09-10
1170,33000,2014-09-16
600,89900,2014-09-09
